,ID,round,chef_order,chef_task,chef_left_ticks,sou_chef_order,sou_chef_task,sou_chef_left_ticks,server_order,server_task,server_left_ticks,ticks,order0_task0,order0_task1,order0_task2,order1_task0,order1_task1,order1_task2,order2_task0,order2_task1,order2_task2,order3_task0,order3_task1,order3_task2
8,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,1.0,5.0,2.0,1.0,9.0,8,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
9,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,1.0,4.0,2.0,1.0,8.0,9,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
10,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,1.0,3.0,2.0,1.0,7.0,10,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
11,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,1.0,2.0,2.0,1.0,6.0,11,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
12,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,1.0,1.0,2.0,1.0,5.0,12,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
13,R_0rpSmV5kSUphP8Z,round_1_states,,,,,,,2.0,1.0,4.0,13,finished,finished,available,finished,finished,available,finished,server,unavailable,available,unavailable,unavailable
14,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,2.0,2.0,2.0,1.0,3.0,14,finished,finished,available,finished,finished,sou_chef,finished,server,unavailable,available,unavailable,unavailable
15,R_0rpSmV5kSUphP8Z,round_1_states,,,,1.0,2.0,1.0,2.0,1.0,2.0,15,finished,finished,available,finished,finished,sou_chef,finished,server,unavailable,available,unavailable,unavailable
16,R_0rpSmV5kSUphP8Z,round_1_states,,,,,,,2.0,1.0,1.0,16,finished,finished,available,finished,finished,finished,finished,server,unavailable,available,unavailable,unavailable
17,R_0rpSmV5kSUphP8Z,round_1_states,3.0,0.0,1.0,,,,,,,17,finished,finished,available,finished,finished,finished,finished,finished,available,chef,unavailable,unavailable
18,R_0rpSmV5kSUphP8Z,round_1_states,,,,,,,,,,18,finished,finished,available,finished,finished,finished,finished,finished,available,finished,available,unavailable
19,R_0rpSmV5kSUphP8Z,round_1_states,3.0,1.0,4.0,,,,,,,19,finished,finished,available,finished,finished,finished,finished,finished,available,finished,chef,unavailable
20,R_0rpSmV5kSUphP8Z,round_1_states,3.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,20,finished,finished,sou_chef,finished,finished,finished,finished,finished,server,finished,chef,unavailable
21,R_0rpSmV5kSUphP8Z,round_1_states,3.0,1.0,2.0,0.0,2.0,1.0,,,,21,finished,finished,sou_chef,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
22,R_0rpSmV5kSUphP8Z,round_1_states,3.0,1.0,1.0,,,,,,,22,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
23,R_0rpSmV5kSUphP8Z,round_1_states,,,,,,,,,,23,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_1N9BntMC65Uo6Jd,round_1_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_1N9BntMC65Uo6Jd,round_1_states,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1,server,unavailable,unavailable,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,available,unavailable,unavailable
2,R_1N9BntMC65Uo6Jd,round_1_states,,,,2.0,0.0,1.0,0.0,0.0,2.0,2,server,unavailable,unavailable,finished,available,unavailable,sou_chef,unavailable,unavailable,available,unavailable,unavailable
3,R_1N9BntMC65Uo6Jd,round_1_states,1.0,1.0,4.0,,,,0.0,0.0,1.0,3,server,unavailable,unavailable,finished,chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
4,R_1N9BntMC65Uo6Jd,round_1_states,1.0,1.0,3.0,2.0,1.0,8.0,,,,4,finished,available,unavailable,finished,chef,unavailable,finished,sou_chef,unavailable,available,unavailable,unavailable
5,R_1N9BntMC65Uo6Jd,round_1_states,1.0,1.0,2.0,2.0,1.0,7.0,0.0,1.0,12.0,5,finished,server,unavailable,finished,chef,unavailable,finished,sou_chef,unavailable,available,unavailable,unavailable
6,R_1N9BntMC65Uo6Jd,round_1_states,1.0,1.0,1.0,2.0,1.0,6.0,0.0,1.0,11.0,6,finished,server,unavailable,finished,chef,unavailable,finished,sou_chef,unavailable,available,unavailable,unavailable
7,R_1N9BntMC65Uo6Jd,round_1_states,,,,2.0,1.0,5.0,0.0,1.0,10.0,7,finished,server,unavailable,finished,finished,available,finished,sou_chef,unavailable,available,unavailable,unavailable
8,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,6.0,2.0,1.0,4.0,0.0,1.0,9.0,8,finished,server,unavailable,finished,finished,chef,finished,sou_chef,unavailable,available,unavailable,unavailable
9,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,5.0,2.0,1.0,3.0,0.0,1.0,8.0,9,finished,server,unavailable,finished,finished,chef,finished,sou_chef,unavailable,available,unavailable,unavailable
10,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,4.0,2.0,1.0,2.0,0.0,1.0,7.0,10,finished,server,unavailable,finished,finished,chef,finished,sou_chef,unavailable,available,unavailable,unavailable
11,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,6.0,11,finished,server,unavailable,finished,finished,chef,finished,sou_chef,unavailable,available,unavailable,unavailable
12,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,2.0,,,,0.0,1.0,5.0,12,finished,server,unavailable,finished,finished,chef,finished,finished,available,available,unavailable,unavailable
13,R_1N9BntMC65Uo6Jd,round_1_states,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,13,finished,server,unavailable,finished,finished,chef,finished,finished,sou_chef,available,unavailable,unavailable
14,R_1N9BntMC65Uo6Jd,round_1_states,,,,2.0,2.0,1.0,0.0,1.0,3.0,14,finished,server,unavailable,finished,finished,finished,finished,finished,sou_chef,available,unavailable,unavailable
15,R_1N9BntMC65Uo6Jd,round_1_states,3.0,0.0,1.0,,,,0.0,1.0,2.0,15,finished,server,unavailable,finished,finished,finished,finished,finished,finished,chef,unavailable,unavailable
16,R_1N9BntMC65Uo6Jd,round_1_states,,,,,,,0.0,1.0,1.0,16,finished,server,unavailable,finished,finished,finished,finished,finished,finished,finished,available,unavailable
17,R_1N9BntMC65Uo6Jd,round_1_states,3.0,1.0,4.0,,,,,,,17,finished,finished,available,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
18,R_1N9BntMC65Uo6Jd,round_1_states,3.0,1.0,3.0,0.0,2.0,2.0,,,,18,finished,finished,sou_chef,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
19,R_1N9BntMC65Uo6Jd,round_1_states,3.0,1.0,2.0,0.0,2.0,1.0,,,,19,finished,finished,sou_chef,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
20,R_1N9BntMC65Uo6Jd,round_1_states,3.0,1.0,1.0,,,,,,,20,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
21,R_1N9BntMC65Uo6Jd,round_1_states,,,,,,,,,,21,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
22,R_1N9BntMC65Uo6Jd,round_1_states,3.0,2.0,6.0,,,,,,,22,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef
