,ID,round,chef_order,chef_task,chef_left_ticks,sou_chef_order,sou_chef_task,sou_chef_left_ticks,server_order,server_task,server_left_ticks,ticks,order0_task0,order0_task1,order0_task2,order1_task0,order1_task1,order1_task2,order2_task0,order2_task1,order2_task2,order3_task0,order3_task1,order3_task2
9,R_2rU9aTxAFCrk6Ay,round_2_states,2.0,1.0,3.0,1.0,1.0,3.0,,,,9,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
10,R_2rU9aTxAFCrk6Ay,round_2_states,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,10,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
11,R_2rU9aTxAFCrk6Ay,round_2_states,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,11,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
12,R_2rU9aTxAFCrk6Ay,round_2_states,,,,,,,3.0,0.0,1.0,12,finished,finished,finished,finished,finished,available,finished,finished,available,server,unavailable,unavailable
13,R_2rU9aTxAFCrk6Ay,round_2_states,,,,2.0,2.0,2.0,,,,13,finished,finished,finished,finished,finished,available,finished,finished,sou_chef,finished,available,unavailable
14,R_2rU9aTxAFCrk6Ay,round_2_states,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,14,finished,finished,finished,finished,finished,server,finished,finished,sou_chef,finished,chef,unavailable
15,R_2rU9aTxAFCrk6Ay,round_2_states,3.0,1.0,3.0,,,,,,,15,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
16,R_2rU9aTxAFCrk6Ay,round_2_states,3.0,1.0,2.0,,,,,,,16,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
17,R_2rU9aTxAFCrk6Ay,round_2_states,3.0,1.0,1.0,,,,,,,17,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
18,R_2rU9aTxAFCrk6Ay,round_2_states,,,,,,,,,,18,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_2ExU01eqkOgAgrE,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_2ExU01eqkOgAgrE,round_2_states,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
2,R_2ExU01eqkOgAgrE,round_2_states,,,,1.0,0.0,1.0,2.0,0.0,2.0,2,finished,available,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
3,R_2ExU01eqkOgAgrE,round_2_states,0.0,1.0,4.0,,,,2.0,0.0,1.0,3,finished,chef,unavailable,finished,available,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
4,R_2ExU01eqkOgAgrE,round_2_states,0.0,1.0,3.0,1.0,1.0,8.0,,,,4,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_2ExU01eqkOgAgrE,round_2_states,0.0,1.0,2.0,1.0,1.0,7.0,,,,5,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_2ExU01eqkOgAgrE,round_2_states,0.0,1.0,1.0,1.0,1.0,6.0,,,,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
7,R_2ExU01eqkOgAgrE,round_2_states,,,,1.0,1.0,5.0,,,,7,finished,finished,available,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
8,R_2ExU01eqkOgAgrE,round_2_states,2.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,8,finished,finished,server,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
9,R_2ExU01eqkOgAgrE,round_2_states,2.0,1.0,3.0,1.0,1.0,3.0,,,,9,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
10,R_2ExU01eqkOgAgrE,round_2_states,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,10,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
11,R_2ExU01eqkOgAgrE,round_2_states,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,11,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
12,R_2ExU01eqkOgAgrE,round_2_states,,,,,,,3.0,0.0,1.0,12,finished,finished,finished,finished,finished,available,finished,finished,available,server,unavailable,unavailable
13,R_2ExU01eqkOgAgrE,round_2_states,,,,2.0,2.0,2.0,,,,13,finished,finished,finished,finished,finished,available,finished,finished,sou_chef,finished,available,unavailable
14,R_2ExU01eqkOgAgrE,round_2_states,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,14,finished,finished,finished,finished,finished,server,finished,finished,sou_chef,finished,chef,unavailable
15,R_2ExU01eqkOgAgrE,round_2_states,3.0,1.0,3.0,,,,,,,15,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
16,R_2ExU01eqkOgAgrE,round_2_states,3.0,1.0,2.0,,,,,,,16,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
17,R_2ExU01eqkOgAgrE,round_2_states,3.0,1.0,1.0,,,,,,,17,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
18,R_2ExU01eqkOgAgrE,round_2_states,,,,,,,,,,18,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_1IiutgNWTATXm7I,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_1IiutgNWTATXm7I,round_2_states,2.0,0.0,1.0,0.0,0.0,2.0,,,,1,sou_chef,unavailable,unavailable,available,unavailable,unavailable,chef,unavailable,unavailable,available,unavailable,unavailable
2,R_1IiutgNWTATXm7I,round_2_states,,,,0.0,0.0,1.0,,,,2,sou_chef,unavailable,unavailable,available,unavailable,unavailable,finished,available,unavailable,available,unavailable,unavailable
3,R_1IiutgNWTATXm7I,round_2_states,2.0,1.0,4.0,,,,,,,3,finished,available,unavailable,available,unavailable,unavailable,finished,chef,unavailable,available,unavailable,unavailable
4,R_1IiutgNWTATXm7I,round_2_states,2.0,1.0,3.0,1.0,0.0,2.0,,,,4,finished,available,unavailable,sou_chef,unavailable,unavailable,finished,chef,unavailable,available,unavailable,unavailable
5,R_1IiutgNWTATXm7I,round_2_states,2.0,1.0,2.0,1.0,0.0,1.0,,,,5,finished,available,unavailable,sou_chef,unavailable,unavailable,finished,chef,unavailable,available,unavailable,unavailable
6,R_1IiutgNWTATXm7I,round_2_states,2.0,1.0,1.0,,,,,,,6,finished,available,unavailable,finished,available,unavailable,finished,chef,unavailable,available,unavailable,unavailable
7,R_1IiutgNWTATXm7I,round_2_states,,,,0.0,1.0,8.0,,,,7,finished,sou_chef,unavailable,finished,available,unavailable,finished,finished,available,available,unavailable,unavailable
8,R_1IiutgNWTATXm7I,round_2_states,1.0,1.0,4.0,0.0,1.0,7.0,2.0,2.0,1.0,8,finished,sou_chef,unavailable,finished,chef,unavailable,finished,finished,server,available,unavailable,unavailable
9,R_1IiutgNWTATXm7I,round_2_states,1.0,1.0,3.0,0.0,1.0,6.0,,,,9,finished,sou_chef,unavailable,finished,chef,unavailable,finished,finished,finished,available,unavailable,unavailable
10,R_1IiutgNWTATXm7I,round_2_states,1.0,1.0,2.0,0.0,1.0,5.0,,,,10,finished,sou_chef,unavailable,finished,chef,unavailable,finished,finished,finished,available,unavailable,unavailable
11,R_1IiutgNWTATXm7I,round_2_states,1.0,1.0,1.0,0.0,1.0,4.0,,,,11,finished,sou_chef,unavailable,finished,chef,unavailable,finished,finished,finished,available,unavailable,unavailable
12,R_1IiutgNWTATXm7I,round_2_states,,,,0.0,1.0,3.0,3.0,0.0,3.0,12,finished,sou_chef,unavailable,finished,finished,available,finished,finished,finished,server,unavailable,unavailable
13,R_1IiutgNWTATXm7I,round_2_states,,,,0.0,1.0,2.0,3.0,0.0,2.0,13,finished,sou_chef,unavailable,finished,finished,available,finished,finished,finished,server,unavailable,unavailable
14,R_1IiutgNWTATXm7I,round_2_states,,,,0.0,1.0,1.0,3.0,0.0,1.0,14,finished,sou_chef,unavailable,finished,finished,available,finished,finished,finished,server,unavailable,unavailable
15,R_1IiutgNWTATXm7I,round_2_states,,,,,,,,,,15,finished,finished,available,finished,finished,available,finished,finished,finished,finished,available,unavailable
16,R_1IiutgNWTATXm7I,round_2_states,3.0,1.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,16,finished,finished,server,finished,finished,sou_chef,finished,finished,finished,finished,chef,unavailable
17,R_1IiutgNWTATXm7I,round_2_states,3.0,1.0,3.0,1.0,2.0,1.0,,,,17,finished,finished,finished,finished,finished,sou_chef,finished,finished,finished,finished,chef,unavailable
18,R_1IiutgNWTATXm7I,round_2_states,3.0,1.0,2.0,,,,,,,18,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
19,R_1IiutgNWTATXm7I,round_2_states,3.0,1.0,1.0,,,,,,,19,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
20,R_1IiutgNWTATXm7I,round_2_states,,,,,,,,,,20,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_1jrYN6s4wqVHXgF,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_1jrYN6s4wqVHXgF,round_2_states,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
2,R_1jrYN6s4wqVHXgF,round_2_states,,,,1.0,0.0,1.0,2.0,0.0,2.0,2,finished,available,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
3,R_1jrYN6s4wqVHXgF,round_2_states,0.0,1.0,4.0,,,,2.0,0.0,1.0,3,finished,chef,unavailable,finished,available,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
4,R_1jrYN6s4wqVHXgF,round_2_states,0.0,1.0,3.0,1.0,1.0,8.0,,,,4,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_1jrYN6s4wqVHXgF,round_2_states,0.0,1.0,2.0,1.0,1.0,7.0,,,,5,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_1jrYN6s4wqVHXgF,round_2_states,0.0,1.0,1.0,1.0,1.0,6.0,,,,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
7,R_1jrYN6s4wqVHXgF,round_2_states,,,,1.0,1.0,5.0,,,,7,finished,finished,available,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
8,R_1jrYN6s4wqVHXgF,round_2_states,2.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,8,finished,finished,server,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
9,R_1jrYN6s4wqVHXgF,round_2_states,2.0,1.0,3.0,1.0,1.0,3.0,,,,9,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
10,R_1jrYN6s4wqVHXgF,round_2_states,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,10,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
11,R_1jrYN6s4wqVHXgF,round_2_states,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,11,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
12,R_1jrYN6s4wqVHXgF,round_2_states,,,,,,,3.0,0.0,1.0,12,finished,finished,finished,finished,finished,available,finished,finished,available,server,unavailable,unavailable
13,R_1jrYN6s4wqVHXgF,round_2_states,,,,2.0,2.0,2.0,,,,13,finished,finished,finished,finished,finished,available,finished,finished,sou_chef,finished,available,unavailable
14,R_1jrYN6s4wqVHXgF,round_2_states,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,14,finished,finished,finished,finished,finished,server,finished,finished,sou_chef,finished,chef,unavailable
15,R_1jrYN6s4wqVHXgF,round_2_states,3.0,1.0,3.0,,,,,,,15,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
16,R_1jrYN6s4wqVHXgF,round_2_states,3.0,1.0,2.0,,,,,,,16,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
17,R_1jrYN6s4wqVHXgF,round_2_states,3.0,1.0,1.0,,,,,,,17,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
18,R_1jrYN6s4wqVHXgF,round_2_states,,,,,,,,,,18,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_3EFh3YtUNV6j8px,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_3EFh3YtUNV6j8px,round_2_states,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
2,R_3EFh3YtUNV6j8px,round_2_states,,,,1.0,0.0,1.0,2.0,0.0,2.0,2,finished,available,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
3,R_3EFh3YtUNV6j8px,round_2_states,0.0,1.0,4.0,,,,2.0,0.0,1.0,3,finished,chef,unavailable,finished,available,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
4,R_3EFh3YtUNV6j8px,round_2_states,0.0,1.0,3.0,1.0,1.0,8.0,,,,4,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_3EFh3YtUNV6j8px,round_2_states,0.0,1.0,2.0,1.0,1.0,7.0,,,,5,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_3EFh3YtUNV6j8px,round_2_states,0.0,1.0,1.0,1.0,1.0,6.0,,,,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
7,R_3EFh3YtUNV6j8px,round_2_states,,,,1.0,1.0,5.0,,,,7,finished,finished,available,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
8,R_3EFh3YtUNV6j8px,round_2_states,2.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,8,finished,finished,server,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
9,R_3EFh3YtUNV6j8px,round_2_states,2.0,1.0,3.0,1.0,1.0,3.0,,,,9,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
10,R_3EFh3YtUNV6j8px,round_2_states,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,10,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
11,R_3EFh3YtUNV6j8px,round_2_states,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,11,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,server,unavailable,unavailable
12,R_3EFh3YtUNV6j8px,round_2_states,,,,,,,3.0,0.0,1.0,12,finished,finished,finished,finished,finished,available,finished,finished,available,server,unavailable,unavailable
13,R_3EFh3YtUNV6j8px,round_2_states,,,,2.0,2.0,2.0,,,,13,finished,finished,finished,finished,finished,available,finished,finished,sou_chef,finished,available,unavailable
14,R_3EFh3YtUNV6j8px,round_2_states,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,14,finished,finished,finished,finished,finished,server,finished,finished,sou_chef,finished,chef,unavailable
15,R_3EFh3YtUNV6j8px,round_2_states,3.0,1.0,3.0,,,,,,,15,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
16,R_3EFh3YtUNV6j8px,round_2_states,3.0,1.0,2.0,,,,,,,16,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
17,R_3EFh3YtUNV6j8px,round_2_states,3.0,1.0,1.0,,,,,,,17,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef,unavailable
18,R_3EFh3YtUNV6j8px,round_2_states,,,,,,,,,,18,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,available
0,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_1LCFQFbDS8xKfrb,round_2_states,0.0,0.0,1.0,,,,,,,1,chef,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
2,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,,,,2,finished,available,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
3,R_1LCFQFbDS8xKfrb,round_2_states,2.0,0.0,1.0,,,,,,,3,finished,available,unavailable,available,unavailable,unavailable,chef,unavailable,unavailable,available,unavailable,unavailable
4,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,8.0,,,,4,finished,sou_chef,unavailable,available,unavailable,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_1LCFQFbDS8xKfrb,round_2_states,1.0,0.0,1.0,0.0,1.0,7.0,,,,5,finished,sou_chef,unavailable,chef,unavailable,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,6.0,,,,6,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
7,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,5.0,,,,7,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
8,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,4.0,,,,8,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
9,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,3.0,,,,9,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
10,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,2.0,,,,10,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
11,R_1LCFQFbDS8xKfrb,round_2_states,,,,0.0,1.0,1.0,,,,11,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
12,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,,,,12,finished,finished,available,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
13,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,0.0,2.0,1.0,13,finished,finished,server,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
14,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,8.0,,,,14,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
15,R_1LCFQFbDS8xKfrb,round_2_states,3.0,0.0,1.0,1.0,1.0,7.0,,,,15,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,chef,unavailable,unavailable
16,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,6.0,,,,16,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
17,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,5.0,,,,17,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
18,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,4.0,,,,18,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
19,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,3.0,,,,19,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
20,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,2.0,,,,20,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
21,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,1.0,1.0,,,,21,finished,finished,finished,finished,sou_chef,unavailable,finished,available,unavailable,finished,available,unavailable
22,R_1LCFQFbDS8xKfrb,round_2_states,3.0,1.0,4.0,,,,2.0,1.0,12.0,22,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,chef,unavailable
23,R_1LCFQFbDS8xKfrb,round_2_states,3.0,1.0,3.0,,,,2.0,1.0,11.0,23,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,chef,unavailable
24,R_1LCFQFbDS8xKfrb,round_2_states,3.0,1.0,2.0,,,,2.0,1.0,10.0,24,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,chef,unavailable
25,R_1LCFQFbDS8xKfrb,round_2_states,3.0,1.0,1.0,,,,2.0,1.0,9.0,25,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,chef,unavailable
26,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,2.0,1.0,8.0,26,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,available
27,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,2.0,1.0,7.0,27,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,available
28,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,2.0,1.0,6.0,28,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,available
29,R_1LCFQFbDS8xKfrb,round_2_states,,,,3.0,2.0,2.0,2.0,1.0,5.0,29,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,sou_chef
30,R_1LCFQFbDS8xKfrb,round_2_states,,,,3.0,2.0,1.0,2.0,1.0,4.0,30,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,sou_chef
31,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,2.0,1.0,3.0,31,finished,finished,finished,finished,finished,available,finished,server,unavailable,finished,finished,finished
32,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,2.0,2.0,2.0,1.0,2.0,32,finished,finished,finished,finished,finished,sou_chef,finished,server,unavailable,finished,finished,finished
33,R_1LCFQFbDS8xKfrb,round_2_states,,,,1.0,2.0,1.0,2.0,1.0,1.0,33,finished,finished,finished,finished,finished,sou_chef,finished,server,unavailable,finished,finished,finished
34,R_1LCFQFbDS8xKfrb,round_2_states,,,,,,,,,,34,finished,finished,finished,finished,finished,finished,finished,finished,available,finished,finished,finished
0,R_1DIKJ0SV6M115U7,round_2_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_1DIKJ0SV6M115U7,round_2_states,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,1,chef,unavailable,unavailable,server,unavailable,unavailable,sou_chef,unavailable,unavailable,available,unavailable,unavailable
2,R_1DIKJ0SV6M115U7,round_2_states,,,,2.0,0.0,1.0,1.0,0.0,2.0,2,finished,available,unavailable,server,unavailable,unavailable,sou_chef,unavailable,unavailable,available,unavailable,unavailable
3,R_1DIKJ0SV6M115U7,round_2_states,0.0,1.0,4.0,,,,1.0,0.0,1.0,3,finished,chef,unavailable,server,unavailable,unavailable,finished,available,unavailable,available,unavailable,unavailable
4,R_1DIKJ0SV6M115U7,round_2_states,0.0,1.0,3.0,,,,,,,4,finished,chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_1DIKJ0SV6M115U7,round_2_states,0.0,1.0,2.0,,,,,,,5,finished,chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_1DIKJ0SV6M115U7,round_2_states,0.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,12.0,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
7,R_1DIKJ0SV6M115U7,round_2_states,,,,1.0,1.0,7.0,2.0,1.0,11.0,7,finished,finished,available,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
8,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,6.0,1.0,1.0,6.0,2.0,1.0,10.0,8,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
9,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,9.0,9,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
10,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,8.0,10,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
11,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,7.0,11,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
12,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,12,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
13,R_1DIKJ0SV6M115U7,round_2_states,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,13,finished,finished,chef,finished,sou_chef,unavailable,finished,server,unavailable,available,unavailable,unavailable
14,R_1DIKJ0SV6M115U7,round_2_states,,,,,,,2.0,1.0,4.0,14,finished,finished,finished,finished,finished,available,finished,server,unavailable,available,unavailable,unavailable
15,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,6.0,,,,2.0,1.0,3.0,15,finished,finished,finished,finished,finished,chef,finished,server,unavailable,available,unavailable,unavailable
16,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,5.0,,,,2.0,1.0,2.0,16,finished,finished,finished,finished,finished,chef,finished,server,unavailable,available,unavailable,unavailable
17,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,4.0,,,,2.0,1.0,1.0,17,finished,finished,finished,finished,finished,chef,finished,server,unavailable,available,unavailable,unavailable
18,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,3.0,,,,,,,18,finished,finished,finished,finished,finished,chef,finished,finished,available,available,unavailable,unavailable
19,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,2.0,,,,,,,19,finished,finished,finished,finished,finished,chef,finished,finished,available,available,unavailable,unavailable
20,R_1DIKJ0SV6M115U7,round_2_states,1.0,2.0,1.0,,,,,,,20,finished,finished,finished,finished,finished,chef,finished,finished,available,available,unavailable,unavailable
21,R_1DIKJ0SV6M115U7,round_2_states,,,,,,,,,,21,finished,finished,finished,finished,finished,finished,finished,finished,available,available,unavailable,unavailable
22,R_1DIKJ0SV6M115U7,round_2_states,2.0,2.0,6.0,3.0,0.0,2.0,,,,22,finished,finished,finished,finished,finished,finished,finished,finished,chef,sou_chef,unavailable,unavailable
23,R_1DIKJ0SV6M115U7,round_2_states,2.0,2.0,5.0,3.0,0.0,1.0,,,,23,finished,finished,finished,finished,finished,finished,finished,finished,chef,sou_chef,unavailable,unavailable
